commit	val_bpb	memory_gb	status	description
70e46a6	1.081750	4.9	discard	resid_lambdas LR 5x higher (marginal)
ad2b581	1.091060	4.9	discard	TOTAL_BATCH_SIZE=2^17 with MLP 2x (1314 steps but batch too small)
b79aee7	1.090928	9.3	discard	DEVICE_BATCH_SIZE=32 with MLP 2x (worse quality despite similar steps)
8630c66	1.081538	4.9	discard	EMBEDDING_LR=1.2 re-tuned with MLP 2x (within noise)
b0bcb50	1.084769	4.9	discard	remove cautious weight decay mask (worse - caution helps)
fd33a48	1.081844	4.9	discard	gradient clipping max_norm=1.0 (within noise)
b53174e	1.081118	4.9	keep	ve_gate_channels=16 (slight improvement + simpler)
a3beeca	1.080667	4.9	keep	ve_gate_channels=8 (even better)
15b35c9	1.080420	4.9	keep	ve_gate_channels=4 (still improving)
882fd81	1.080531	4.9	discard	ve_gate_channels=2 (slightly worse than 4)
7930c24	1.081685	4.8	discard	remove VE gate entirely (worse - learned gate helps)
6d29d86	1.085961	4.8	discard	VE every 4th layer (2 VE layers too few - quality loss)
825f690	1.079982	5.2	keep	VE on every layer (8 VE layers - improved quality)
935714a	1.084291	5.2	discard	MATRIX_LR=0.07 re-tuned with new arch (still worse)
bda008f	1.084988	5.2	discard	MATRIX_LR=0.05 re-tuned with new arch (worse too)
9173092	1.085175	5.2	discard	sqrt warmdown schedule (worse than linear)
c2cf64e	1.080572	5.2	discard	WEIGHT_DECAY=0.25 (worse than 0.2)
fa1160e	1.080453	5.2	discard	value embedding weight decay=0.01 (worse)
81d95a9	1.088602	4.7	discard	shared VE across all layers (29.4M too few params)
11c081c	1.083958	5.2	discard	HEAD_DIM=64 with 2x MLP + VE every layer (worse)
be448ef	1.086103	5.2	discard	x0_lambdas init=0.15 (worse than 0.1)
73e2fd3	0.000000	0.0	crash	VE gate with bias (muon can't handle 1D bias params)
e62fe32	1.079966	5.2	discard	L windows=1024 (within noise - no clear improvement)
9725c44	1.080475	5.2	discard	L windows=512 (S=64 L=512 last=2048 - worse)
9d67d55	1.079471	5.2	keep	QK norm before RoPE (norm then rotate - improved)
6eebd16	1.098488	4.6	discard	remove QK norm entirely (much worse - norm crucial)
3fc0aa5	1.080943	5.2	discard	EMBEDDING_LR=1.5 re-tuned (worse)
b73a640	1.084333	5.2	discard	small non-zero c_proj init (worse - zero init better)
81e0041	1.074108	5.2	keep	ADAM_BETAS=(0.85 0.95) - huge improvement!
6cf431f	1.075665	5.2	discard	ADAM_BETAS=(0.9 0.95) - worse than 0.85
bbca1f9	1.074796	5.2	discard	ADAM_BETAS=(0.875 0.95) - slightly worse than 0.85
366f6f2	1.075639	5.2	discard	ADAM_BETAS=(0.85 0.99) - higher beta2 worse
